Sort,Latitude,Longitude,Sample Sites,Year,,High_Low,DateNote,Slope,WShedArea,DistanceUS,DATE,TIME,D'/W',Depth(ft),Width(ft),XC_Area,W/D,TEMP.,pH,COND.,DO,VEL.,TURB.,TSS,NH3,Hardness,Ca,Mg,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Na,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,,,Pine Ridge Lift Station Downstream,2006,,H,,,,,5/11/06,,,,,,,,,,,,,38,nd,200,63,10,,,,,nd,,,,,,,,,,,,,,,,26,,,,1100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,,,Pine Ridge Lift Station Downstream,2006,,H,,,,,5/22/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,022-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,,,Pine Ridge Lift Station Downstream,2006,,H,,,,,5/22/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,022-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,43.3359,102.1206056,Medicine Root I,2006,,H,,,,,4/12/06,10:26am,,0.7,7.1,5.0,10.1,10.1,8.11,420,9.65,0.06,27,160,nd,160,52,6,,,,,0.17,,,,,,,,,,,,,,,,27,,,,70,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,43.3359,102.1206056,Medicine Root I,2006,,H,,,,,5/25/06,11:35am,,0.9,3.2,2.9,3.6,17.8,8.19,420,7.58,0.18,7.6,27,nd,180,60,6,,,,,nd,,,,,,,,,,,,,,,,26,,,,100,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,43.3359,102.1206056,Medicine Root I,2006,,H,,,,,6/26/06,12:08pm,,0.5,3.9,2.0,7.8,24.2,8.16,366.4,5.65,0.16,6.8,22,nd,150,49,6,,,,,nd,,,,,,,,,,,,,,,,27,,,,78,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,43.56906389,102.2488028,Medicine Root IV,2006,,H,,,,,5/25/06,1:14pm,,0.8,8.3,6.6,10.4,22.6,8.41,550,7.11,0.32,27,31,nd,150,50,6,,,,,nd,,,,,,,,,,,,,,,,75,,,,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,43.56906389,102.2488028,Medicine Root IV,2006,,H,,,,,6/29/06,1:50pm,,0.5,9.5,4.8,19.0,28.5,8.36,582,4.96,0.23,95,86,nd,130,42,5,,,,,nd,,,,,,,,,,,,,,,,89,,,,130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,43.02743889,102.8340639,White River I,2006,,H,,,,,5/22/06,10:18am,,0.6,18.5,11.1,30.8,20.5,8.13,630,6.11,0.67,95,140,nd,230,69,14,,,,,,,,,,,,,,,,,,,,,66,,,,340,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,43.02743889,102.8340639,White River I,2006,,H,,,,,6/28/06,10:38am,,0.2,19.0,3.8,95.0,22.7,7.93,660,3.43,0.55,500,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,43.02743889,102.8340639,White River I,2006,,H,,,,,11/8/06,,,,,,,,,,,,,22,nd,26,8,,,,,,,,,,,,,,,,,,,,,,5.5,,,,12,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,43.31306389,102.7838944,White River II,2006,,H,,,,,6/28/06,11:58am,,0.3,32.3,9.7,107.7,22.7,8.07,790,3.78,0.42,220,170,,240,72,15,,,,,,,,,,,,,,,,,,,,,83,,,,880,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,43.63102222,102.2466694,White River III,2006,,H,,,,,6/29/06,2:08pm,,0.4,36.0,14.4,90.0,22.2,8.58,833.2,7.77,0.32,300,280,nd,58,17,4,,,,,nd,,,,,,,,,,,,,,,,120,,,,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,43.54779722,102.1381278,Red Water Creek,2006,,H,,,,,4/12/06,11:53am,,1.0,1.9,1.9,1.9,17.9,8.21,720,9.52,0.36,13,29,nd,75,27,2,,,,,nd,,,,,,,,,,,,,,,,150,,,,100,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,43.54779722,102.1381278,Red Water Creek,2006,,H,,,,,5/25/06,12:34pm,,0.6,2.2,1.3,3.7,25.6,8.5,710,7.24,0.32,7,12,nd,65,24,1,,,,,nd,,,,,,,,,,,,,,,,160,,,,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,43.54779722,102.1381278,Red Water Creek,2006,,H,,,,,6/29/06,1:15pm,,0.5,2.2,1.1,4.4,30.9,8.4,710.3,4.91,0.1,15,44,nd,64,23,1,,,,,nd,,,,,,,,,,,,,,,,140,,,,120,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,43.04164722,102.3002333,Wounded Knee I,2006,,H,,,,,11/8/06,,,,,,,,,,,,,13,nd,160,56,4,,,,,nd,,,,,,,,,,,,,,,,17,,,,12,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,43.14328889,102.3580778,Wounded Knee II,2006,,H,,,,,5/11/06,10:38am,,2.5,7.5,18.8,3.0,10.2,8.16,275.7,9.99,0.27,11,22,nd,180,61,7,,,,,nd,,,,,,,,,,,,,,,,19,,,,130,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,,,Wounded Knee Lagoon (downstream),2006,,H,,,,,5/11/06,,,,,,,,,,,,,26,nd,180,62,7,,,,,nd,,,,,,,,,,,,,,,,19,,,,130,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,42.232525,102.3023972,Porcupine Creek I,2007,,H,,,,,7/17/07,11:24am,,3.5,2.9,10.2,0.8,18.4,8.66,430,2.53,meter,19,12,nd,161,51,8.1,,,,,0.39,,,,,,,,,,,,,,,,,,,,140,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,43.03405556,101.8507833,Corn Creek I,2007,,H,,,,,5/24/07,10:11am,,1.2,3.0,3.6,2.5,11.6,8.21,440,5.17,0.17,3.3,nd,nd,170,55,7.7,,,,,0.12,,,,,,,,,,,,,,,,,,,,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,43.25686111,101.6949944,Bear Creek III,2007,,H,,,,,5/24/07,10:55am,,,,,,15.0,8.22,420,5.01,0.35,200,81,nd,140,46,6.1,,,,,0.31,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,43.25686944,101.6949944,Bear Creek II,2007,,H,,,,,5/24/07,11:24am,,1.2,7.2,8.6,6.0,15.3,8,400,5.5,0.28,33,210,nd,156,51,6.9,,,,,0.21,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,43.57989444,101.6129361,Long Creek I,2007,,H,,,,,5/24/07,12:42pm,,0.3,1.4,0.4,4.7,15.4,7.68,580,3.38,0.08,2.6,nd,0.2,98,37,1.2,,,,,0.41,,,,,,,,,,,,,,,,,,,,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,43.57652778,101.6640972,Craven Creek I,2007,,H,,,,,5/24/07,1:00pm,,0.5,2.0,1.0,4.0,18.2,7.99,540,5.36,0.2,7.2,8,nd,98,37,1.1,,,,,0.76,,,,,,,,,,,,,,,,,,,,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,43.66493333,101.7775083,Eagle Nest II,2007,,H,,,,,5/24/07,1:40pm,,0.2,5.2,1.0,26.0,22.8,8.72,400,4.76,0.21,beyond meter,2600,nd,26,7.6,1.7,,,,,2.4,,,,,,,,,,,,,,,,,,,,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,43.27814444,101.8248556,Bear Creek I,2008,,H,,,,,6/17/08,10:29am,,,,,,12.7,7.99,751.1,18.25,,1.5,5,nd,152,48,8,,,,,0.3,,,,,,,,,,,,,,,,,,,,38,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,43.27814444,101.8248556,Bear Creek I,2008,,H,,,,,7/16/08,,,,,,,,,,,,,6,nd,135,43,7,,,,,0.2,,,,,,,,,,,,,,,,,,>2419.6,>2419.6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,43.27814444,101.8248556,Bear Creek I,2008,,H,,,,,8/21/08,9:47am,,,,,,16.8,7.96,389,7.66,,50.4,6,nd,135,43,7,,,,,0.3,,,0.06,,,,,,,,,,,,,,,914,>2419.6,1600,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,43.27814444,101.8248556,Bear Creek I,2008,,H,,,,,9/9/08,9:10am,,,,,,10.0,7.98,388.4,9.44,,48.4,nd,nd,140,43,8,,,,,0.3,,,0.03,,,,,,,,,,,,,,,186,>2419.6,130,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,43.27814444,101.8248556,Bear Creek I,2008,,L,,,,,10/6/08,10:26am,,,,,,11.7,7.9,396.6,8.03,,33.5,nd,nd,140,44,7,,,,,0.2,,,0.03,,,,,,,,,,,,,,,115,>2419.6,98,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,43.25686944,101.6949944,Bear Creek II,2008,,H,,,,,6/17/08,11:31am,,,,,,17.8,8,438.6,19.65,,40,160,nd,147,49,6,,,,,0.2,,,,,,,,,,,,,,,,,,,,550,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,43.25686944,101.6949944,Bear Creek II,2008,,H,,,,,7/15/08,,,,,,,,,,,,,250,nd,140,47,6,,,,,0.4,,,,,,,,,,,,,,,,,,575,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,43.25686944,101.6949944,Bear Creek II,2008,,H,,,,,8/14/08,10:07am,,,,,,19.1,8.07,424.3,8.07,,meter,93,nd,142,47,6,,,,,0.4,,,,,,,,,,,,,,,,,,416,>2419.6,720,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,43.25686944,101.6949944,Bear Creek II,2008,,H,,,,,9/4/08,10:05am,,,,,,12.3,8.23,425.6,10.24,,62.4,22,nd,135,44,6,,,,,0.2,,,0.09,,,,,,,,,,,,,,,629,>2419.6,670,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,43.25686944,101.6949944,Bear Creek II,2008,,L,,,,,10/9/08,9:57am,,,,,,8.8,7.94,455,8.11,,53.1,11,nd,151,50,6,,,,,nd,,,0.09,,,,,,,,,,,,,,,328,>2419.6,610,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,43.25686111,101.6949944,Bear Creek III,2008,,H,,,,,6/17/08,12:09pm,,,,,,20.3,8.05,489,18.43,,112,260,nd,142,47,6,,,,,0.4,,,,,,,,,,,,,,,,,,,,670,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,43.25686111,101.6949944,Bear Creek III,2008,,H,,,,,7/15/08,,,,,,,,,,,,,250,nd,134,45,5,,,,,0.5,,,,,,,,,,,,,,,,,,689,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,43.25686111,101.6949944,Bear Creek III,2008,,H,,,,,8/14/08,10:40am,,,,,,20.3,8.27,499.4,7.73,,meter,190,nd,139,47,5,,,,,0.4,,,,,,,,,,,,,,,,,,575,>2419.6,670,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,43.25686111,101.6949944,Bear Creek III,2008,,H,,,,,9/4/08,10:30am,,,,,,12.4,8.14,487.4,9.66,74.2,,28,nd,134,45,5,,,,,nd,,,0.11,,,,,,,,,,,,,,,378,>2419.6,400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,43.25686111,101.6949944,Bear Creek III,2008,,L,,,,,10/9/08,10:20am,,,,,,9.2,8.18,499.8,7.51,50.5,,19,nd,149,50,6,,,,,nd,,,0.17,,,,,,,,,,,,,,,397,>2419.6,500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,6/18/08,11:45am,,,,,,,8.47,,,124,,190,nd,139,46,6,,,,,0.4,,,,,,,,,,,,,,,,,,,,540,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,7/15/08,,,,,,,,,,,,,48,nd,132,46,4,,,,,0.2,,,,,,,,,,,,,,,,,,629,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,8/14/08,11:55am,,,,,,21.8,8.5,535.6,8.28,meter,,140,nd,135,46,5,,,,,0.3,,,,,,,,,,,,,,,,,,722,>2419.6,1100,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,9/4/08,11:55am,,,,,,14.8,8.52,527.9,9.6,meter,,26,nd,135,46,5,,,,,nd,,,0.12,,,,,,,,,,,,,,,178,>2419.6,190,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,43.27814444,101.8248556,Bear in the Lodge I,2008,,L,,,,,10/9/08,11:27am,,,,,,9.8,8.43,540.7,7.53,61.7,,19,nd,154,53,5,,,,,nd,,,0.23,,,,,,,,,,,,,,,285,>2419.6,260,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,6/19/08,,,,,,,,8.71,,,15000,,320,nd,39,12,2,,,,,1.4,,,,,,,,,,,,,,,,,,>4839.2,>4839.2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,7/14/08,,,,,,,,,,,,,76,nd,127,44,4,,,,,nd,,,,,,,,,,,,,,,,,,659,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,8/12/08,11:51am,,,,,,20.4,8.44,418.8,11.12,meter,,120,nd,67,24,2,,,,,0.3,,,,,,,,,,,,,,,,,,1380,>4839.2,1300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,43.27814444,101.8248556,Bear in the Lodge I,2008,,H,,,,,9/3/08,11:30am,,,,,,15.6,8.63,546.1,10.64,meter,,18,nd,111,38,4,,,,,nd,,,0.07,,,,,,,,,,,,,,,328,>2419.6,530,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,43.27814444,101.8248556,Bear in the Lodge I,2008,,L,,,,,10/8/08,12:45pm,,,,,,13.4,7.65,501.6,8.16,52.6,,37,nd,135,47,4,,,,,nd,,,0.15,,,,,,,,,,,,,,,479,>2419.6,430,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,43.03405556,101.8507833,Corn Creek I,2008,,H,,,,,6/17/08,1:05pm,,,,,,11.2,8.31,860.9,17.67,,8.5,16,nd,163,54,6,,,,,nd,,,,,,,,,,,,,,,,,,,,150,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,43.03405556,101.8507833,Corn Creek I,2008,,H,,,,,7/16/08,,,,,,,,,,,,,100,nd,159,53,7,,,,,0.2,,,,,,,,,,,,,,,,,,>2419.6,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,43.03405556,101.8507833,Corn Creek I,2008,,H,,,,,8/21/08,10:25am,,,,,,20.2,8.21,483.4,8.63,,meter,140,nd,159,53,7,,,,,0.3,,,0.3,,,,,,,,,,,,,,,756,>2419.6,950,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,43.03405556,101.8507833,Corn Creek I,2008,,H,,,,,9/9/08,9:50am,,,,,,16.8,8.3,298.4,8.36,,54.6,25,nd,154,50,7,,,,,0.1,,,0.07,,,,,,,,,,,,,,,689,>2419.6,740,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,43.03405556,101.8507833,Corn Creek I,2008,,L,,,,,10/6/08,11:15am,,,,,,12.2,8.2,500.8,8.36,,29.2,14,nd,171,56,8,,,,,nd,,,0.19,,,,,,,,,,,,,,,361,>2419.6,350,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,43.57652778,101.6640972,Craven Creek I,2008,,H,,,,,6/18/08,10:32am,,,,,,15.1,8.17,646.6,8.21,,nd,nd,nd,113,43,1,,,,,1.1,,,,,,,,,,,,,,,,,,,,42,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,43.57652778,101.6640972,Craven Creek I,2008,,H,,,,,7/14/08,,,,,,,,,,,,,nd,nd,99,39,nd,,,,,1.2,,,,,,,,,,,,,,,,,,172,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,43.57652778,101.6640972,Craven Creek I,2008,,H,,,,,8/12/08,10:45am,,,,,,16.5,8.1,611.9,8.43,,meter,nd,nd,101,39,nd,,,,,1.1,,,,,,,,,,,,,,,,,,155,>2419.6,96,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,43.57652778,101.6640972,Craven Creek I,2008,,H,,,,,9/3/08,10:40am,,,,,,10.7,8.2,607,9.88,,50.2,nd,nd,84,33,nd,,,,,1.3,,,0.11,,,,,,,,,,,,,,,122,>2419.6,92,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,43.57652778,101.6640972,Craven Creek I,2008,,L,,,,,10/8/08,10:59am,,,,,,11.1,8.18,623.4,7.65,,32,nd,nd,101,39,1,,,,,0.8,,,0.14,,,,,,,,,,,,,,,66,>2419.6,52,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,43.57358056,101.7458778,Eagle Nest I,2008,,H,,,,,6/18/08,11:05am,,,,,,,8.1,,,,0.68,nd,nd,87,31,2,,,,,nd,,,,,,,,,,,,,,,,,,,,190,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,43.57358056,101.7458778,Eagle Nest I,2008,,H,,,,,7/15/08,,,,,,,,,,,,,nd,nd,62,23,1,,,,,nd,,,,,,,,,,,,,,,,,,44,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,43.57358056,101.7458778,Eagle Nest I,2008,,H,,,,,8/14/08,11:30am,,,,,,18.8,7.72,521.1,5.14,,meter,nd,nd,68,24,2,,,,,nd,,,,,,,,,,,,,,,,,,201,>2419.6,170,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,43.57358056,101.7458778,Eagle Nest I,2008,,H,,,,,9/4/08,11:15am,,,,,,11.9,7.67,636.4,4.53,,meter,nd,nd,55,20,nd,,,,,nd,,,0.15,,,,,,,,,,,,,,,14,>2419.6,18,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,43.57358056,101.7458778,Eagle Nest I,2008,,L,,,,,10/9/08,10:50am,,,,,,7.8,7.79,687,4.62,,44,5,nd,84,30,2,,,,,nd,,,0.19,,,,,,,,,,,,,,,102,>2419.6,98,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,43.66493333,101.7775083,Eagle Nest II,2008,,H,,,,,6/19/08,,,,,,,,8.89,,,,12000,23000,nd,62,20,3,,,,,1.6,,,,,,,,,,,,,,,,,,>4839.2,>4839.2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,43.66493333,101.7775083,Eagle Nest II,2008,,H,,,,,7/16/08,,,,,,,,,,,dry,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,43.66493333,101.7775083,Eagle Nest II,2008,,H,,,,,8/12/08,,,,,,,,,,,dry,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,43.57989444,101.6129361,Long Creek I,2008,,H,,,,,6/18/08,9:54am,,,,,,14.8,8.13,652.7,9.38,,3.8,8,nd,115,43,1,,,,,1.8,,,,,,,,,,,,,,,,,,,,140,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,43.57989444,101.6129361,Long Creek I,2008,,H,,,,,7/14/08,,,,,,,,,,,,,nd,nd,101,39,nd,,,,,2.3,,,,,,,,,,,,,,,,,,501,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,43.57989444,101.6129361,Long Creek I,2008,,H,,,,,8/12/08,10:25am,,,,,,6.8,8.23,712.8,14.71,,53.3,nd,nd,99,38,nd,,,,,2.5,,,,,,,,,,,,,,,,,,201,>2419.6,110,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,43.57989444,101.6129361,Long Creek I,2008,,H,,,,,9/3/08,10:10am,,,,,,10.2,7.98,609.4,10.43,,53.3,nd,nd,86,34,nd,,,,,2.4,,,0.05,,,,,,,,,,,,,,,71,>2419.6,74,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,43.57989444,101.6129361,Long Creek I,2008,,L,,,,,10/8/08,10:38am,,,,,,8.4,7.65,564.2,8.27,,32.4,5,nd,92,35,nd,,,,,2,,,0.06,,,,,,,,,,,,,,,69,>2419.6,46,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,43.60152778,101.966675,Lost Dog Creek I,2008,,H,,,,,7/16/08,,,,,,,,,,,,,6,nd,127,48,2,,,,,0.1,,,,,,,,,,,,,,,,,,328,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,43.60152778,101.966675,Lost Dog Creek I,2008,,H,,,,,8/21/08,11:40am,,,,,,19.0,7.76,630.7,5.69,,52.6,nd,nd,137,52,2,,,,,0.1,,,0.14,,,,,,,,,,,,,,,91,>2419.6,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,43.60152778,101.966675,Lost Dog Creek I,2008,,H,,,,,9/9/08,11:10am,,,,,,11.8,8.09,632,8.63,,meter,nd,nd,140,52,3,,,,,0.1,,,0.07,,,,,,,,,,,,,,,34,>2419.6,12,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,43.60152778,101.966675,Lost Dog Creek I,2008,,L,,,,,10/6/08,12:20pm,,,,,,13.9,7.93,653.5,7.38,,62.8,nd,nd,137,51,2,,,,,nd,,,0.18,,,,,,,,,,,,,,,17,>2419.6,18,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,42.232525,102.3023972,Porcupine Creek I,2008,,H,,,,,6/30/08,,,,,,,,7.73,,,,1,nd,nd,158,47,10,,,,,0.2,,,,,,,,,,,,,,,,,,145,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,42.232525,102.3023972,Porcupine Creek I,2008,,H,,,,,7/21/08,9:42am,,,,,,16.2,7.99,473.9,8.55,,meter,30,nd,152,45,9,,,,,0.2,,,,,,,,,,,,,,,,,,285,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,42.232525,102.3023972,Porcupine Creek I,2008,,H,,,,,8/18/08,10:05am,,,,,,3.7,8.08,685.1,21.26,,40.8,nd,nd,163,49,10,,,,,0.3,,,,,,,,,,,,,,,,,,126,>2419.6,150,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,42.232525,102.3023972,Porcupine Creek I,2006,,H,,,,,9/16/06,2:31pm,,,,,,9.6,7.92,520.9,6.86,,35.6,32,nd,163,51,8,,,,,0.3,,,0.08,,,,,,,,,,,,,,,71,>2419.6,100,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,42.232525,102.3023972,Porcupine Creek I,2008,,L,,,,,10/23/08,,,,,,,,,,,,,nd,nd,171,55,9,,,,,nd,,,0.06,,,,,,,,,,,,,,,23,,8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,43.362675,102.3776417,Porcupine Creek II,2008,,H,,,,,6/30/08,,,,,,,,7.63,,,,7.3,17,nd,171,56,10,,,,,nd,,,,,,,,,,,,,,,,,,82,>2419.6,,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
