Sort,Latitude,Longitude,Sample Sites,Year,,High_Low,DateNote,Slope,WShedArea,DistanceUS,DATE,TIME,D'/W',Depth(ft),Width(ft),XC_Area,W/D,TEMP.,pH,COND.,DO,VEL.,TURB.,TSS,NH3,Hardness,Ca,Mg,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Na,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,43.25686111,101.6949944,Bear Creek III,1994,,L,,,,,,,,,,,,,,,,,,,,,,,234,14,0.46,40,0.21,0,0.544,0.801,0.099,0.51,0.032,,0.016,1.24,0.013,0.64,0.004,,,,52,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,43.25686111,101.6949944,Bear Creek III,1995,,H,,,,,6/6/95,12:00pm,,,,,,19.5,8.42,58.4,5.54,,25.3,,,,,,252,5,0.47,47,0.22,0.073,0.235,0.263,0.047,1.48,0,,0.009,8.77,0,0.44,0.0012,,,,59,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,43.25686111,101.6949944,Bear Creek III,1995,,L,,,,,10/10/95,12.06pm,"1'/18'8""",1.0,8.8,8.8,8.8,9.24,8.18,599,8.47,1.09,57.5,,,,,,234,9,0.47,38,0,0,0.270,0.284,0.000,0.22,0,,0,1.9,0,0.06,0.0004,,,,55,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,43.25686111,101.6949944,Bear Creek III,1996,,H,,,,,6/12/96,12:49pm,"1'9""/14'8""",1.9,14.7,28.175,7.669565217,23.04,8.65,567,9.5,4.8,147.9,,,,,,250,4,0.50,25,0.2,0.08,0.330,0.41,0.011,0.263,0.007,,0.012,6.6,0.005,0.28,0,,,,47,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,43.25686111,101.6949944,Bear Creek III,1996,,L,,,,,10/1/96,1:27pm,"1'4""/13'",1.3,13,17.33333333,9.75,14.87,10.4,588,13.4,1.8,58.2,,,,,,232,5,0.40,41,0,0,0.140,0.18,0.010,0.309,0.012,,0.01,2.47,0,0.11,0,,,,71,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,43.25686111,101.6949944,Bear Creek III,1997,,L,,,,,9/22/97,12:23pm,"4""/3'2""",0.3,3.2,1.066666667,9.6,11.01,8.38,879,4.3,0,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,43.25686111,101.6949944,Bear Creek III,1998,,H,,,,,,,,,,,,,,,,,,,,,,,250,4.7,0.50,37,0,0,0.160,0.22,0.010,0.2,0,0,0,2.1,0,0.13,0,0,,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,43.25686111,101.6949944,Bear Creek III,2000,,L,,,,,,,,,,,,,,,,,,,,,,,234,8,0.50,31,0,0.19,0.110,0.12,0.007,0,0,0,0,0.57,0,0.02,0,0,0,0,42,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,43.27814444,101.8248556,Bear in the Lodge I,1993,,H,,,,,6/15/93,12:26pm,"8""/12'11""",0.7,12.9,8.6,19.35,21.4,8.37,520,8.28,1.37,192.2,,,,,,272,5,0.54,32,0.44,0,0.450,0.496,0.016,0.137, ,0.013,0.01,5.43,0.006,0.26,0.0036,0.005,0,0,69,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,43.27814444,101.8248556,Bear in the Lodge I,1993,,L,,,,,12/3/93,1:05pm,"1'3""/17'4""",1.3,17.3,21.625,13.84,,8.25,301,13.39,0.05,0.02,,,,,,275,7,0.44,21,0.27,0,0.126,0.193,0.006,0.05,0,0.013,0.005,1.41,0,0.04,0,0,0,0,59,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
